time,Monthly_inflow_COG,fatalities_COG,HDI_COG,Monthly_inflow_PAK,fatalities_PAK,HDI_PAK,Monthly_inflow_SYR,fatalities_SYR,HDI_SYR,Monthly_inflow_COD,fatalities_COD,HDI_COD,Monthly_inflow_CMR,fatalities_CMR,HDI_CMR,Monthly_inflow_IRN,fatalities_IRN,HDI_IRN,Monthly_inflow_SOM,fatalities_SOM,HDI_SOM,Monthly_inflow_IRQ,fatalities_IRQ,HDI_IRQ,Monthly_inflow_PSE,fatalities_PSE,HDI_PSE,Monthly_inflow_AFG,fatalities_AFG,HDI_AFG,Sum_Inflow
2017-01-01,0.0,0.0,0.0,66.0,158.0,0.0,353.0,10141.0,0.0,127.0,276.0,0.0,28.0,102.0,0.0,24.0,0.0,0.0,0.0,906.0,0.0,97.0,10221.0,0.0,58.0,26.0,0.0,51.0,4845.0,0.0,804.0
2017-02-01,0.0,0.0,0.0,32.0,876.0,0.0,412.0,10545.0,0.0,108.0,556.0,0.0,18.0,156.0,0.0,18.0,12.0,0.0,6.0,429.0,0.0,110.0,3682.0,0.0,24.0,9.0,0.0,48.0,4415.0,0.0,776.0
2017-03-01,0.0,30.0,0.0,163.0,326.0,0.0,688.0,8051.0,0.0,63.99999999999999,1022.0,0.0,60.0,34.0,0.0,36.0,18.0,0.0,2.0,643.0,0.0,190.0,10459.0,0.0,90.0,24.0,0.0,129.0,6434.0,0.0,1422.0
2017-04-01,0.0,6.0,0.0,6.0,244.0,0.0,438.0,10474.0,0.0,46.0,974.0,0.0,23.0,76.0,0.0,54.0,34.0,0.0,3.9999999999999996,1023.9999999999999,0.0,163.0,9060.0,0.0,35.0,8.0,0.0,88.0,7361.0,0.0,857.0
2017-05-01,0.0,0.0,0.0,137.0,262.0,0.0,696.0,8754.0,0.0,177.0,332.0,0.0,60.0,38.0,0.0,52.0,22.0,0.0,14.0,643.0,0.0,361.0,8497.0,0.0,42.0,20.0,0.0,126.0,8654.0,0.0,1665.0
2017-06-01,0.0,0.0,0.0,230.0,322.0,0.0,781.0,9839.0,0.0,175.0,352.0,0.0,30.0,144.0,0.0,49.0,124.0,0.0,3.9999999999999996,987.0,0.0,307.0,6348.0,0.0,68.0,27.0,0.0,151.0,4277.0,0.0,1795.0
2017-07-01,0.0,0.0,0.0,236.0,316.0,0.0,1107.0,8505.0,0.0,38.0,1014.0,0.0,23.0,128.0,0.0,39.0,24.0,0.0,20.0,878.0,0.0,372.0,3098.0,0.0,34.0,50.0,0.0,281.0,8488.0,0.0,2150.0
2017-08-01,0.0,0.0,0.0,17.0,264.0,0.0,1616.0,10334.0,0.0,21.0,274.0,0.0,42.0,252.0,0.0,92.0,26.0,0.0,14.0,704.0,0.0,1042.0,3096.0,0.0,48.0,8.0,0.0,554.0,7040.0,0.0,3446.0
2017-09-01,0.0,0.0,0.0,66.0,152.0,0.0,1984.0,11420.0,0.0,33.0,194.0,0.0,62.0,128.0,0.0,153.0,2.0,0.0,45.0,818.0,0.0,1233.0,3392.0,0.0,132.0,14.0,0.0,684.0,5327.0,0.0,4392.0
2017-10-01,0.0,0.0,0.0,18.0,208.0,0.0,1833.0,8210.0,0.0,17.0,312.0,0.0,43.0,150.0,0.0,68.0,28.0,0.0,60.0,642.0,0.0,867.0,2791.0,0.0,51.0,26.0,0.0,763.0,7187.0,0.0,3720.0
