,Monthly_inflow_GMB,fatalities_GMB,HDI_GMB,Monthly_inflow_MAR,fatalities_MAR,HDI_MAR,Monthly_inflow_SEN,fatalities_SEN,HDI_SEN,Monthly_inflow_CMR,fatalities_CMR,HDI_CMR,Monthly_inflow_CIV,fatalities_CIV,HDI_CIV,Monthly_inflow_DZA,fatalities_DZA,HDI_DZA,Monthly_inflow_GIN,fatalities_GIN,HDI_GIN,Monthly_inflow_SYR,fatalities_SYR,HDI_SYR,Monthly_inflow_MLI,fatalities_MLI,HDI_MLI,Sum_Inflow
2018-01-01,107.0,0.0,0.0,263.0,0.0,0.0,40.0,30.0,0.0,44.0,102.0,0.0,214.0,8.0,0.0,104.0,30.0,0.0,332.0,3.9999999999999996,0.0,0.0,7938.0,0.0,186.0,94.0,0.0,1290.0
2018-02-01,104.0,0.0,0.0,193.0,0.0,0.0,28.0,2.0,0.0,39.0,158.0,0.0,163.0,3.9999999999999996,0.0,42.0,3.9999999999999996,0.0,207.0,22.0,0.0,0.0,7814.0,0.0,213.0,226.0,0.0,989.0
2018-03-01,134.0,0.0,0.0,153.0,0.0,0.0,10.0,2.0,0.0,21.0,168.0,0.0,79.0,2.0,0.0,27.0,0.0,0.0,168.0,10.0,0.0,0.0,9858.0,0.0,133.0,208.0,0.0,725.0
2018-04-01,78.0,0.0,0.0,206.0,0.0,0.0,49.0,0.0,0.0,24.0,244.0,0.0,115.0,2.0,0.0,3.9999999999999996,2.0,0.0,410.0,8.0,0.0,0.0,4714.0,0.0,170.0,390.0,0.0,1056.0
2018-05-01,338.0,0.0,0.0,692.0,2.0,0.0,108.0,6.0,0.0,113.0,390.0,0.0,293.0,0.0,0.0,61.0,8.0,0.0,750.0,2.0,0.0,0.0,3533.0,0.0,786.0,290.0,0.0,3141.0
2018-06-01,572.0,12.0,0.0,1126.0,0.0,0.0,495.0,0.0,0.0,294.0,184.0,0.0,557.0,0.0,0.0,91.0,3.9999999999999996,0.0,1443.0,10.0,0.0,0.0,4986.0,0.0,1051.0,466.0,0.0,5629.0
2018-07-01,184.0,0.0,0.0,1402.0,0.0,0.0,222.0,12.0,0.0,91.0,298.0,0.0,352.0,2.0,0.0,317.0,22.0,0.0,961.0,6.0,0.0,0.0,5795.0,0.0,968.0,390.0,0.0,4497.0
2018-08-01,113.0,0.0,0.0,1579.0,2.0,0.0,137.0,0.0,0.0,65.0,212.0,0.0,311.0,0.0,0.0,158.0,10.0,0.0,839.0,0.0,0.0,2.0,2735.0,0.0,1064.0,104.0,0.0,4268.0
2018-09-01,47.0,0.0,0.0,2270.0,2.0,0.0,57.0,0.0,0.0,21.0,464.0,0.0,214.0,2.0,0.0,784.0,8.0,0.0,530.0,2.0,0.0,0.0,3363.0,0.0,659.0,216.0,0.0,4582.0
2018-10-01,35.0,0.0,0.0,3512.0,3.9999999999999996,0.0,40.0,0.0,0.0,13.0,476.0,0.0,116.0,3.9999999999999996,0.0,1547.0,0.0,0.0,360.0,6.0,0.0,0.0,3330.0,0.0,346.0,190.0,0.0,5969.0
2018-11-01,6.0,0.0,0.0,953.0,0.0,0.0,32.0,6.0,0.0,2.0,486.0,0.0,45.0,8.0,0.0,530.0,14.0,0.0,113.0,6.0,0.0,0.0,3479.0,0.0,206.0,311.0,0.0,1887.0
2018-12-01,0.0,0.0,0.0,402.0,3.9999999999999996,0.0,0.0,0.0,0.0,1.0,126.0,0.0,0.0,0.0,0.0,871.0,2.0,0.0,0.0,2.0,0.0,0.0,2707.0,0.0,0.0,293.0,0.0,1274.0
2019-01-01,109.0,0.0,0.0,555.0,0.0,0.0,471.0,0.0,0.0,45.0,222.0,0.0,523.0,0.0,0.0,56.0,8.0,0.0,933.0,0.0,0.0,0.0,3114.0,0.0,741.0,328.0,0.0,3433.0
2019-02-01,36.0,0.0,0.0,287.0,0.0,0.0,92.0,3.9999999999999996,0.0,10.0,256.0,0.0,116.0,2.0,0.0,42.0,0.0,0.0,160.0,14.0,0.0,0.0,1505.0,0.0,137.0,350.0,0.0,880.0
2019-03-01,7.0,3.9999999999999996,0.0,293.0,0.0,0.0,55.0,0.0,0.0,7.0,192.0,0.0,33.0,6.0,0.0,39.0,2.0,0.0,19.0,2.0,0.0,0.0,2982.0,0.0,81.0,494.0,0.0,534.0
2019-04-01,26.0,0.0,0.0,385.0,2.0,0.0,65.0,0.0,0.0,11.0,258.0,0.0,137.0,0.0,0.0,74.0,0.0,0.0,61.0,14.0,0.0,0.0,2156.0,0.0,168.0,278.0,0.0,927.0
2019-05-01,30.0,0.0,0.0,797.0,0.0,0.0,125.0,0.0,0.0,9.0,244.0,0.0,80.0,34.0,0.0,158.0,16.0,0.0,182.0,2.0,0.0,0.0,3156.0,0.0,184.0,206.0,0.0,1565.0
2019-06-01,39.0,0.0,0.0,1181.0,0.0,0.0,181.0,0.0,0.0,12.0,394.0,0.0,237.0,12.0,0.0,97.0,0.0,0.0,246.0,3.9999999999999996,0.0,2.0,3160.0,0.0,389.0,420.0,0.0,2384.0
2019-07-01,28.0,3.9999999999999996,0.0,847.0,8.0,0.0,268.0,0.0,0.0,18.0,234.0,0.0,559.0,2.0,0.0,62.0,0.0,0.0,445.0,0.0,0.0,2.0,2780.0,0.0,396.0,142.0,0.0,2625.0
2019-08-01,0.0,0.0,0.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,2.0,0.0,451.0,0.0,0.0,0.0,0.0,0.0,6.0,3726.0,0.0,0.0,122.0,0.0,1124.0
2019-09-01,0.0,0.0,0.0,1104.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,2.0,0.0,1160.0,3.9999999999999996,0.0,0.0,0.0,0.0,11.0,671.0,0.0,0.0,266.0,0.0,2275.0
2019-10-01,0.0,0.0,0.0,651.0,0.0,0.0,0.0,3.9999999999999996,0.0,0.0,120.0,0.0,0.0,3.9999999999999996,0.0,1342.0,3.9999999999999996,0.0,0.0,18.0,0.0,0.0,2808.0,0.0,0.0,146.0,0.0,1993.0
2019-11-01,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,22.0,0.0,0.0,2628.0,0.0,0.0,362.0,0.0,164.0
